Circuit: * C:\Users\USER\Desktop\ECE445_SeniorDesign\Notebooks\Kanin\Simulation\Buck-converter.asc

WARNING: Node N004 is floating.
WARNING: Node N002 is floating.

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 1e-010 to 1.8e-009
Heightened Def Con from 3.12511e-005 +++++++++++++++++++to 3.12521e-005
Heightened Def Con from 3.33334e-005 ++++++++++++++++++++to 3.33346e-005
Heightened Def Con from 6.66668e-005 ++++++++++++++++++++to 6.66678e-005
Heightened Def Con from 9.37511e-005 +++++++++++++++++++to 9.37521e-005
Heightened Def Con from 0.0001 ++++++++++++++++++++to 0.000100001
Heightened Def Con from 0.000133333 ++++++++++++++++++++to 0.000133334
Heightened Def Con from 0.000156251 +++++++++++++++++++to 0.000156252
Heightened Def Con from 0.000166667 ++++++++++++++++++++to 0.000166668
Heightened Def Con from 0.0002 ++++++++++++++++++++to 0.000200001
Heightened Def Con from 0.000218751 +++++++++++++++++++to 0.000218752
Heightened Def Con from 0.000233333 ++++++++++++++++++++to 0.000233334
Heightened Def Con from 0.000266667 ++++++++++++++++++++to 0.000266668
Heightened Def Con from 0.000281251 +++++++++++++++++++to 0.000281252
Heightened Def Con from 0.000281252 to 0.000281257
Heightened Def Con from 0.0003 ++++++++++++++++++++to 0.000300001
Heightened Def Con from 0.000333333 ++++++++++++++++++++to 0.000333334
Heightened Def Con from 0.000343751 +++++++++++++++++++to 0.000343752
Heightened Def Con from 0.000343752 to 0.000343757
Heightened Def Con from 0.000366667 ++++++++++++++++++++to 0.000366668
Heightened Def Con from 0.0004 ++++++++++++++++++++to 0.000400001
Heightened Def Con from 0.000406251 +++++++++++++++++++to 0.000406252
Heightened Def Con from 0.000433333 ++++++++++++++++++++to 0.000433334
Heightened Def Con from 0.000466667 ++++++++++++++++++++to 0.000466668
Heightened Def Con from 0.000468751 +++++++++++++++++++to 0.000468752
Heightened Def Con from 0.0005 ++++++++++++++++++++to 0.000500001
Heightened Def Con from 0.000531251 +++++++++++++++++++to 0.000531252
Heightened Def Con from 0.000533333 ++++++++++++++++++++to 0.000533334
Heightened Def Con from 0.000566667 ++++++++++++++++++++to 0.000566668
Heightened Def Con from 0.000593751 +++++++++++++++++++to 0.000593752
Heightened Def Con from 0.0006 ++++++++++++++++++++to 0.000600001
Heightened Def Con from 0.000633333 ++++++++++++++++++++to 0.000633334
Heightened Def Con from 0.000656251 +++++++++++++++++++to 0.000656252
Heightened Def Con from 0.000666667 ++++++++++++++++++++to 0.000666668
Heightened Def Con from 0.0007 ++++++++++++++++++++to 0.000700001
Heightened Def Con from 0.000718751 +++++++++++++++++++to 0.000718752
Heightened Def Con from 0.000733333 ++++++++++++++++++++to 0.000733334
Heightened Def Con from 0.000766667 ++++++++++++++++++++to 0.000766668
Heightened Def Con from 0.000781251 +++++++++++++++++++to 0.000781252
Heightened Def Con from 0.0008 ++++++++++++++++++++to 0.000800001
Heightened Def Con from 0.000833333 ++++++++++++++++++++to 0.000833334
Heightened Def Con from 0.000843751 +++++++++++++++++++to 0.000843752
Heightened Def Con from 0.000866667 ++++++++++++++++++++to 0.000866668
Heightened Def Con from 0.0009 ++++++++++++++++++++to 0.000900001
Heightened Def Con from 0.000906251 +++++++++++++++++++to 0.000906252
Heightened Def Con from 0.000933333 ++++++++++++++++++++to 0.000933334
Heightened Def Con from 0.000966667 ++++++++++++++++++++to 0.000966668
Heightened Def Con from 0.000968751 +++++++++++++++++++to 0.000968752
Heightened Def Con from 0.001 ++++++++++++++++++++to 0.001
Heightened Def Con from 0.00103125 +++++++++++++++++++to 0.00103125
Heightened Def Con from 0.00103333 ++++++++++++++++++++to 0.00103333
Heightened Def Con from 0.00106667 ++++++++++++++++++++to 0.00106667
Heightened Def Con from 0.00109375 +++++++++++++++++++to 0.00109375
Heightened Def Con from 0.0011 ++++++++++++++++++++to 0.0011
Heightened Def Con from 0.00113333 ++++++++++++++++++++to 0.00113333
Heightened Def Con from 0.00115625 +++++++++++++++++++to 0.00115625
Heightened Def Con from 0.00116667 ++++++++++++++++++++to 0.00116667
Heightened Def Con from 0.0012 ++++++++++++++++++++to 0.0012
Heightened Def Con from 0.00121875 +++++++++++++++++++to 0.00121875
Heightened Def Con from 0.00123333 ++++++++++++++++++++to 0.00123333
Heightened Def Con from 0.00126667 ++++++++++++++++++++to 0.00126667
Heightened Def Con from 0.00128125 +++++++++++++++++++to 0.00128125
Heightened Def Con from 0.0013 ++++++++++++++++++++to 0.0013
Heightened Def Con from 0.00133333 ++++++++++++++++++++to 0.00133333
Heightened Def Con from 0.00134375 +++++++++++++++++++to 0.00134375
Heightened Def Con from 0.00136667 ++++++++++++++++++++to 0.00136667
Heightened Def Con from 0.0014 ++++++++++++++++++++to 0.0014
Heightened Def Con from 0.00140625 +++++++++++++++++++to 0.00140625
Heightened Def Con from 0.00143333 ++++++++++++++++++++to 0.00143333
Heightened Def Con from 0.00146667 ++++++++++++++++++++to 0.00146667
Heightened Def Con from 0.00146875 +++++++++++++++++++to 0.00146875
Heightened Def Con from 0.0015 ++++++++++++++++++++to 0.0015
Heightened Def Con from 0.00153125 +++++++++++++++++++to 0.00153125
Heightened Def Con from 0.00153333 ++++++++++++++++++++to 0.00153333
Heightened Def Con from 0.00156667 ++++++++++++++++++++to 0.00156667
Heightened Def Con from 0.00159375 +++++++++++++++++++to 0.00159375
Heightened Def Con from 0.0016 ++++++++++++++++++++to 0.0016
Heightened Def Con from 0.00163333 ++++++++++++++++++++to 0.00163333
Heightened Def Con from 0.00165625 +++++++++++++++++++to 0.00165625
Heightened Def Con from 0.00166667 ++++++++++++++++++++to 0.00166667
Heightened Def Con from 0.0017 ++++++++++++++++++++to 0.0017
Heightened Def Con from 0.00171875 +++++++++++++++++++to 0.00171875
Heightened Def Con from 0.00173333 ++++++++++++++++++++to 0.00173333
Heightened Def Con from 0.00176667 ++++++++++++++++++++to 0.00176667
Heightened Def Con from 0.00178125 +++++++++++++++++++to 0.00178125
