"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"20k";;;
2;"C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1uF";;;
3;"R9,R3";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"1.5m";;;
4;"C4,C3,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1u";;;
5;"U5";"BA50DD0T";1;"BA50DD0T";;;
6;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
7;"J1,J2";"Banana_Jack_1Pin";2;"Conn_01x01_Female";;;
8;"L1";"L_Toroid_Vertical_L35.1mm_W21.1mm_P18.50mm_Vishay_TJ6";1;"L";;;
9;"J3";"PhoenixContact_MSTBVA_2,5_3-G_1x03_P5.00mm_Vertical";1;"Conn_01x02_Female";;;
10;"J6,J12,J14,J10,J8,J5,J16,J15,J13,J11,J7";"Pin_D1.0mm_L10.0mm";11;"Conn_01x01_Female";;;
11;"R2";"R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal";1;"5k";;;
12;"C2";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10u";;;
13;"U4,U1";"SOIC-8_3.9x4.9mm_P1.27mm";2;"INA240A4D";;;
14;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
15;"C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1u";;;
16;"R4";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";1;"3";;;
17;"C8";"CP_Radial_D8.0mm_P5.00mm";1;"22uF";;;
18;"C5,C7";"CP_Radial_D10.0mm_P5.00mm";2;"470u";;;
19;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
20;"R1";"R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal";1;"1k";;;
21;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM5109BMA";;;
22;"R5,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
23;"U2";"TO-220-3_Vertical";1;"LM317_TO-220";;;
24;"Q2,Q1";"TO-220-3_Vertical";2;"IRLB8721PBF";;;
25;"IC1";"SOP65P490X110-9N";1;"TPS2511QDGNQ1";;;
26;"D3";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4002";;;
